,age_head,age_spouse,e00200p,e00900p,e02100p,e00200s,e00900s,e02100s,e00600,e00800,e01500,e02300,s006,DSI,blind_head,blind_spouse,nu18,n1820,n21,ssi_ben,vet_ben,snap_ben,mcare_ben,mcaid_ben,e02400,tanf_ben,housing_ben,wic_ben,nu13,nu05,n24,elderly_dependents,f2441,EIC,XTOT,MARS,e01100,e01400,e03300,e03270,e20400,e32800,e19200,e18500,e03240,e17500,e18400,e00900,e00650,e00300,e00400,e01700,e19800,e20100,e03210,e03150,other_ben,e00200,e02100
130106,52,52,14243,0,0,11077,0,0,95634,0,0,0,800,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,10797,3576,0,0,8798,0,64840,25,0,0,0,0,0,0,0,25320,0
227466,32,32,55792,0,0,152971,0,0,0,0,0,0,13000,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,3,2,0,0,0,0,0,0,16840,3421,0,6750,10290,0,0,0,0,0,0,0,0,0,0,208763,0
25401,53,46,0,0,0,56881,0,0,45,0,56205,0,4400,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,2,0,0,0,0,0,0,8483,2861,0,0,5004,0,30,2,0,0,5272,1156,0,0,0,56881,0
139385,48,48,63648,0,0,17680,0,0,0,0,36297,0,800,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,41358,0,0,0,0,0,0,0,0,0,10241,0,0,112,0,20943,5513,1209,0,0,0,81328,0
47120,24,0,5531,0,0,0,0,0,0,0,0,0,158300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,5531,0
65636,64,0,0,0,0,0,0,0,0,0,0,0,13300,0,0,0,0,0,2,0,23363,2054,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,492,321,0,0,38,0,0,534,0,0,0,0,0,0,839,0,0
299662,23,0,0,17685,0,0,0,0,38,0,0,0,900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5220,0,0,0,0,0,0,2510,17685,38,60,0,0,0,0,0,0,0,0,0
316370,53,55,298149,0,0,0,1360,0,0,0,0,0,7000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4721,0,0,13103,4387,0,0,13829,1360,0,176,0,0,0,0,0,0,0,298149,0
454639,26,0,6464,0,0,0,0,0,0,0,0,0,11100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,142,0,0,0,0,0,3212,633,0,0,334,0,0,0,0,0,0,0,0,0,0,6464,0
399707,72,74,0,0,0,0,0,0,68,0,48762,0,3600,0,0,0,0,0,2,0,0,0,23244,0,37111,0,0,0,0,0,0,0,0,0,2,2,0,46,0,0,0,0,2404,2246,0,0,2255,0,68,3,0,48762,0,0,0,0,0,0,0
4361,45,0,0,59529,0,0,0,0,0,0,0,0,600,0,0,0,0,0,1,0,0,2414,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,59529,0,0,0,0,0,0,0,0,986,0,0
41061,51,0,320072,0,0,0,0,0,0,0,0,0,6500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5567,0,0,13971,4177,0,0,17228,0,0,1,0,0,0,0,452,0,0,320072,0
357315,59,64,0,5984,0,0,109355,0,0,0,0,0,1700,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4516,10757,0,8908,3719,0,0,8673,115339,0,8,0,0,0,0,0,0,0,0,0
446922,85,85,0,0,0,0,0,0,0,0,122245,0,6600,0,0,0,0,0,2,8025,22450,0,11622,0,18345,3622,0,0,0,0,0,0,0,0,2,2,0,27261,0,0,0,0,256,4089,0,0,7322,0,0,297,0,122245,0,0,0,0,3278,0,0
316975,45,0,0,0,0,0,0,0,0,0,0,12080,91400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,922,0,0,92,0,0,0,0,0,0,0,0,0
411412,67,0,0,0,0,0,0,0,0,0,0,0,51700,0,0,0,0,0,1,4176,0,3295,11622,7031,7935,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1226,854,0,0,251,0,0,0,0,0,0,0,0,0,5924,0,0
71460,19,0,10943,0,0,0,0,0,0,0,0,0,56500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,550,0,0,13,0,0,3882,851,0,0,0,10943,0
270081,50,41,14203,0,0,11540,0,0,0,0,0,0,81500,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,5,2,0,0,0,0,0,0,0,0,0,0,1508,0,0,0,0,0,0,0,0,0,0,25743,0
111788,85,0,0,0,0,0,0,0,1746058,0,37865,0,2000,0,0,0,0,0,1,0,0,0,11622,0,14964,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2979,7184,0,0,35927,0,1183827,39,0,21848,0,0,0,0,0,0,0
159640,20,0,0,0,0,0,0,0,0,0,0,0,53500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,237,0,0,2232,2903,0,0,0,0,0,0,0,0
440661,76,78,0,0,0,0,0,0,0,0,0,0,66300,0,0,0,0,0,2,21458,0,0,23244,14062,34532,0,11415,0,0,0,0,0,0,0,2,2,0,27754,0,0,0,0,0,0,0,0,1510,0,0,0,0,0,0,0,0,0,14509,0,0
17480,48,50,216180,0,0,21618,0,0,0,0,0,0,3600,0,0,0,2,0,2,0,0,0,0,28125,0,0,0,0,2,0,2,0,2,2,4,2,0,0,0,0,0,0,14729,4067,0,28733,11594,0,0,6107,10571,0,5910,1296,0,0,11489,237798,0
188984,72,0,5436,0,0,0,0,0,0,0,0,0,38100,0,0,0,0,0,1,0,0,0,11622,0,21404,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1749,1523,0,0,1254,0,0,54,0,0,0,0,0,0,0,5436,0
235924,80,0,0,0,0,0,0,0,0,0,0,0,51300,0,1,0,0,0,1,0,0,2569,11622,0,22365,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,615,1482,0,0,1046,0,0,0,0,0,0,0,0,0,1049,0,0
12677,85,80,75272,0,0,0,48355,0,0,0,0,0,700,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,6,2,0,0,0,0,0,0,1961,4159,0,0,6513,48355,0,62,0,0,0,0,0,0,0,75272,0
108350,68,0,0,0,0,0,0,0,0,0,0,0,36800,0,0,0,0,0,1,0,0,0,11622,0,11223,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0
41262,29,0,53620,0,0,0,0,0,0,0,0,0,125700,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8509,0,0,0,0,294,8856,1708,0,0,2971,0,0,0,0,0,4728,1036,0,0,0,53620,0
192700,33,0,216180,0,0,0,0,0,0,0,0,676,3900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11187,0,0,0,0,0,10045,0,0,0,0,0,0,0,0,0,0,216180,0
174463,44,41,58548,0,0,39032,0,0,0,0,0,0,400,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0,2,3,5,2,0,0,0,0,0,0,12292,3069,0,0,3000,0,0,3286,9721,0,0,0,0,0,0,97580,0
435181,33,0,0,21097,0,0,0,0,0,0,0,0,6700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2607,0,0,0,9448,0,0,0,0,0,2588,21097,0,0,0,0,4718,1034,0,0,0,0,0
40047,67,68,0,0,0,0,0,0,31352,0,73634,0,6300,0,0,0,0,0,2,0,0,0,23244,0,12245,0,0,0,0,0,0,0,0,0,2,2,777,13311,0,11456,0,0,5559,3385,0,84130,6211,0,31352,38,0,73634,0,0,0,0,0,0,0
236945,62,0,0,0,0,0,0,0,0,0,0,0,104500,0,0,0,0,0,1,0,0,0,11622,7031,8203,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,2872,0,0
224980,80,80,0,0,0,2369,0,0,4299,0,40995,0,4100,0,0,0,0,0,2,0,0,0,23244,0,13584,0,0,0,0,0,0,0,0,0,2,2,0,8640,0,0,0,0,1334,3072,0,0,4100,0,0,33,0,40995,0,0,0,0,0,2369,0
336996,49,0,0,30180,0,0,0,0,0,0,0,0,67200,0,0,0,1,0,1,0,0,0,0,7031,0,0,0,0,0,0,1,0,0,1,2,1,230,0,0,0,0,0,4410,1336,0,0,1259,30180,0,0,0,0,0,0,0,0,2872,0,0
28675,24,25,0,0,0,0,0,0,0,0,0,0,82400,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183870,39,40,37959,0,0,0,7427,0,0,0,0,0,11100,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,6,2,0,0,0,0,0,0,10052,2249,0,0,3161,7427,0,81,0,0,0,0,0,0,0,37959,0
290138,69,0,0,0,0,0,0,0,0,0,68354,0,20400,0,0,0,0,0,1,0,0,0,11622,0,16469,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3628,2347,0,4460,2471,0,0,0,0,39440,0,0,0,0,0,0,0
8522,61,59,0,0,0,40748,0,0,2486,0,50026,0,5900,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3025,0,0,0,0,0,6461,3002,0,0,5159,0,2486,2340,6924,28865,0,0,0,0,0,40748,0
78861,63,0,0,0,0,0,0,0,0,0,5973,965,59600,0,0,0,0,0,2,919,0,66,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1577,833,0,0,347,0,0,4,0,3446,0,0,0,0,402,0,0
142724,85,0,0,0,0,0,0,0,0,0,28173,0,87700,0,0,0,0,0,2,0,0,0,11622,0,21149,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,8398,0,0,0,0,0,2550,0,0,19,0,28173,4359,956,0,0,0,0,0
251474,21,0,959,0,0,0,0,0,0,0,0,0,56400,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,204,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,959,0
118816,64,59,35864,0,0,204940,0,0,71,0,0,0,7600,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,8751,4398,0,0,3000,0,48,896,0,0,6002,1316,0,0,0,240804,0
421562,46,0,26520,0,0,0,0,0,0,0,0,0,39300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1500,0,0,3,0,0,0,0,0,0,0,26520,0
22650,44,47,0,71256,0,151326,0,0,0,0,0,0,4500,0,0,0,3,0,2,0,66296,0,0,0,0,0,0,0,1,0,3,0,1,3,5,2,0,0,0,17636,0,0,15064,3711,0,0,9596,71256,0,1262,0,0,5714,1253,0,0,0,151326,0
32035,43,0,403,17320,0,0,0,0,16,0,0,0,65900,0,0,0,4,0,2,0,0,0,0,14062,0,0,0,0,2,0,4,0,2,3,6,1,13038,0,0,0,0,0,0,0,0,0,3067,17320,16,8,0,0,0,0,0,0,5744,403,0
206922,54,0,14163,0,0,0,0,0,0,0,0,0,123500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,3999,877,551,0,0,14163,0
75157,25,0,21945,0,0,0,0,0,0,0,0,0,10300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1250,0,0,0,0,0,4305,944,0,0,0,21945,0
222293,59,56,0,0,217779,0,0,0,0,0,0,0,1100,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,10090,4157,15881,0,3000,0,0,12,0,0,5954,1305,0,0,0,0,217779
300207,32,0,0,17685,0,0,0,0,0,0,0,0,800,0,0,0,0,0,1,0,0,0,11622,0,11465,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7606,1587,0,0,2500,17685,0,0,0,0,0,0,0,0,0,0,0
224086,37,37,46370,0,0,37096,0,0,0,0,0,0,11800,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,4,2,0,0,0,0,0,0,11217,2504,0,0,4500,0,0,4,0,0,0,0,0,0,0,83466,0
440778,65,65,59879,0,0,0,0,0,0,0,239423,0,4100,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,128,0,0,9090,0,9194,4782,0,0,14095,0,0,41,0,239423,5219,1144,0,0,0,59879,0
285176,33,0,8119,0,0,0,0,0,0,0,0,6435,109000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,880,0,0,0,0,0,4116,902,0,0,0,8119,0
200217,36,37,519243,0,0,0,0,0,0,0,0,0,4300,0,0,0,2,0,2,0,0,0,0,0,0,0,0,522,2,1,2,0,2,2,4,2,973,0,0,0,0,0,0,0,0,0,25844,0,0,0,0,0,6652,1458,0,0,0,519243,0
365011,35,41,6665,0,0,71632,0,0,0,0,0,0,35400,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,2,0,0,0,0,0,162,10391,2291,0,0,3935,0,0,0,0,0,5098,1118,0,0,0,78297,0
314054,49,0,0,32959,0,0,0,0,0,0,0,0,7900,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2500,32959,0,4,0,0,0,0,0,0,0,0,0
441603,54,37,0,0,0,4059,0,0,0,0,0,0,43300,0,0,0,0,1,3,13600,0,3071,0,28125,0,5671,14375,0,0,0,0,0,0,0,4,2,0,1416,0,0,0,610,0,0,0,0,577,0,0,0,0,0,0,0,0,0,18299,4059,0
367507,63,0,54719,0,0,0,0,0,0,0,0,0,36900,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3306,2750,0,0,0,0,0,0,0,0,0,0,54719,0
344028,67,67,17888,0,0,0,0,0,813,0,62795,0,3700,0,0,0,0,0,2,0,0,0,23244,0,42325,0,0,0,0,0,0,0,0,0,2,2,0,20951,0,0,0,0,6789,4015,0,0,9172,0,813,5757,17029,36232,4859,1065,0,0,0,17888,0
72671,38,44,159184,85801,0,105459,0,0,0,0,0,0,2100,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,4,2,0,0,0,0,0,0,19876,4369,6977,0,15840,85801,0,400,0,0,0,0,407,0,0,264643,0
269884,76,0,0,0,0,0,0,0,0,0,0,0,121400,0,0,0,0,0,1,0,0,0,11622,0,8715,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0
336229,20,0,15366,0,0,0,0,0,0,0,0,0,100500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,15366,0
129046,48,50,58356,0,0,39564,0,0,0,0,0,2199,400,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,2,0,0,0,0,0,0,10427,3035,0,0,6169,0,0,4472,13229,0,5430,1191,421,0,0,97920,0
239235,67,0,0,0,0,0,0,0,0,0,16184,0,128000,0,0,0,0,0,1,0,0,0,11622,0,20507,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2887,1756,0,0,1873,0,0,13,0,16184,0,0,0,0,0,0,0
332524,36,36,0,0,0,182106,0,0,0,0,0,0,55200,0,0,0,4,0,2,0,0,0,0,28125,0,0,0,0,4,0,4,0,4,3,6,2,0,0,0,0,10259,203,0,0,0,0,8925,0,0,0,0,0,5620,1232,0,0,11489,182106,0
313782,51,0,0,32959,0,0,0,0,0,0,0,0,8300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3698,0,0,0,0,0,0,0,2500,32959,0,9,0,0,4718,1034,0,0,0,0,0
74358,35,0,153615,0,0,0,0,0,0,0,0,0,10900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8750,0,0,5,0,0,5618,1232,0,0,0,153615,0
226241,69,68,20288,0,0,0,0,0,7554,0,47047,0,900,0,0,0,0,0,2,0,0,0,11622,0,13069,0,0,0,0,0,0,0,0,0,2,2,6417,2783,0,0,0,0,4402,3072,0,0,4830,0,7554,380,0,27146,0,0,0,0,0,20288,0
171315,51,47,151220,0,0,12942,0,0,111,0,0,0,55200,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,0,0,0,0,11165,3485,0,0,8097,0,111,6,0,0,0,0,0,0,0,164162,0
281644,52,52,60894,0,0,76117,0,0,0,0,0,0,91100,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1626,0,0,0,0,0,0,0,0,0,7009,0,0,39,0,0,5558,1219,0,0,0,137011,0
454350,59,66,198920,0,0,0,0,0,0,0,45700,0,700,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,10461,4294,0,0,12045,0,0,49,0,26368,0,0,0,0,0,198920,0
345929,29,0,35776,0,0,0,0,0,0,0,0,0,26200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1805,0,0,50,0,0,4518,990,0,0,0,35776,0
209687,46,37,979643,0,0,0,0,0,0,0,0,0,3100,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,2,4861,0,0,0,0,122,29324,7559,0,0,51221,0,0,888,0,0,7425,1628,0,0,0,979643,0
371652,49,0,0,0,0,0,0,0,0,0,0,0,6500,0,0,0,1,0,1,0,0,0,11622,0,0,0,16868,0,1,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100771,48,47,70316,0,0,45660,0,0,0,0,0,0,3800,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,0,0,0,0,11724,3381,0,4126,3000,0,0,10061,29760,0,0,0,0,0,0,115976,0
168019,49,0,0,21097,0,0,0,0,0,0,0,0,3700,0,0,0,3,0,2,7848,0,0,11622,14062,14801,0,0,0,1,0,3,1,1,3,5,1,0,0,0,0,0,0,7029,1898,0,0,2500,21097,0,3,0,0,0,0,0,0,8950,0,0
117653,19,0,16732,0,0,0,0,0,0,0,0,0,65600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,964,0,0,19,0,0,4164,913,0,0,0,16732,0
342777,50,51,0,0,0,25166,0,0,54,0,0,0,26600,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,2,0,0,0,0,0,0,5212,1593,0,0,1269,0,0,0,0,0,0,0,0,0,0,25166,0
360277,75,67,0,0,0,67129,0,0,0,0,16398,0,1400,0,0,0,0,0,2,0,23001,0,23244,0,32763,0,0,0,0,0,0,0,0,0,2,2,0,14743,0,0,0,0,3829,3979,0,0,7981,0,0,4409,13043,16398,0,0,0,0,0,67129,0
100072,21,0,11871,0,0,0,0,0,0,0,0,0,51600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4601,0,0,0,0,0,0,0,0,584,0,0,0,0,0,0,0,0,0,0,11871,0
398220,60,49,23615,0,0,0,0,0,0,0,0,0,32000,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3609,1660,0,0,1300,0,0,0,0,0,4391,963,0,0,0,23615,0
272080,66,0,0,0,0,0,0,0,5800,0,0,0,79600,0,0,0,0,0,1,0,0,0,11622,0,15380,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2064,1259,0,0,622,0,5800,545,0,0,0,0,0,0,0,0,0
202771,65,67,0,0,0,12675,0,0,0,0,13940,0,114100,0,0,0,0,0,2,0,0,0,23244,0,20964,0,0,0,0,0,0,0,0,0,2,2,9076,74324,0,0,0,0,6887,3721,0,0,7944,0,0,0,0,13940,0,0,0,0,0,12675,0
260611,30,42,0,0,0,43037,0,0,0,0,0,0,63000,0,0,0,3,0,2,0,0,5687,0,0,0,0,0,0,3,2,3,0,3,3,5,2,0,0,0,0,0,0,8915,1744,0,0,1470,0,0,1,0,0,4625,1014,0,0,2323,43037,0
97740,60,59,182640,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,9297,3998,0,2163,3000,0,0,2031,0,0,0,0,0,0,0,182640,0
33972,50,49,117000,0,0,34125,0,0,0,0,0,0,4200,0,0,0,1,2,2,0,0,0,0,14062,0,0,0,0,0,0,1,0,0,1,5,2,0,0,0,0,0,0,13163,3743,0,0,8950,0,0,2791,8256,0,0,0,0,0,5744,151125,0
120088,54,50,0,0,0,204940,645,0,85,0,0,0,3900,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,5,2,0,7557,0,0,0,308,13343,4188,0,0,3000,645,85,2616,4528,0,0,0,0,0,0,204940,0
222429,65,0,0,0,0,0,0,0,27852,0,23923,0,600,0,0,0,2,0,1,0,0,0,11622,7031,23016,0,0,0,1,0,2,0,1,2,3,1,0,0,0,0,0,0,4690,2237,0,0,2172,0,18884,10,0,23923,0,0,0,0,2872,0,0
82111,34,35,0,5190,0,144555,0,0,0,0,0,0,53200,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,675,0,0,0,14995,3114,0,0,7750,5190,0,0,0,0,5576,1222,0,0,0,144555,0
226099,62,0,0,95444,0,0,0,0,12302,0,0,0,1300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10650,0,6704,2980,0,0,6762,95444,8341,3130,9261,0,0,0,0,0,0,0,0
295974,29,0,0,22734,0,0,0,0,0,0,0,0,900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,967,0,0,0,9453,0,7956,1572,0,0,0,22734,0,169,0,0,4721,1035,0,0,0,0,0
48445,37,0,78416,0,0,0,0,0,0,0,0,0,106300,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,4,0,0,0,0,0,0,0,0,0,18859,4084,0,0,421,0,0,0,0,0,0,0,78416,0
121699,47,47,0,0,0,0,12053,0,88,0,108535,0,4300,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,10356,2944,0,0,3000,12053,0,1,0,62625,5388,1181,0,0,0,0,0
100915,79,0,0,0,0,0,0,0,0,0,0,0,53200,0,0,0,0,0,1,4878,0,991,11622,7031,10425,0,3632,0,0,0,0,0,0,0,1,1,0,7664,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,5269,0,0
18874,74,0,16213,0,0,0,0,0,0,0,0,0,106400,0,0,0,0,0,1,0,0,0,11622,0,22658,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1859,1824,0,0,1840,0,0,0,0,0,0,0,0,0,0,16213,0
277481,57,50,202980,0,0,0,0,0,41302,0,0,0,4400,0,0,0,1,1,2,0,0,0,0,0,0,11497,0,0,0,0,1,0,0,2,4,2,45470,0,0,0,0,0,14010,4902,0,0,15544,0,28003,271,0,0,6076,1332,0,0,0,202980,0
43902,36,36,60702,0,0,85994,0,0,3315,0,0,0,61000,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,4,2,1112,0,0,0,0,0,14438,3116,0,0,7532,0,0,382,0,0,5549,1217,142,0,0,146696,0
39367,34,0,0,0,0,0,0,0,0,0,0,0,62600,0,0,0,0,0,1,0,0,581,0,0,0,0,8043,0,0,0,0,0,0,0,1,1,2549,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,237,0,0
210677,66,0,22089,0,0,0,0,0,3956,0,0,0,141600,0,0,0,0,0,2,0,0,0,11622,0,19615,0,0,0,0,0,0,0,0,0,2,4,269,0,0,0,0,0,0,0,0,0,1392,0,2682,1,0,0,0,0,0,0,0,22089,0
444814,56,0,53789,0,0,0,0,0,0,0,0,0,65800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5072,1903,0,0,2650,0,0,0,0,0,0,0,0,0,0,53789,0
411192,47,0,51235,0,0,0,0,0,0,0,0,0,58300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6051,1750,0,0,1750,0,0,0,0,0,0,0,0,0,0,51235,0
260225,34,0,30741,0,0,0,0,0,0,0,0,0,53200,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1050,0,0,0,0,0,0,0,0,5500,0,30741,0
134251,47,47,91431,0,0,5079,0,0,7750,0,0,0,400,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,4,2,0,0,0,0,0,0,12052,3300,0,0,0,0,5255,13986,41369,0,5528,1212,0,0,0,96510,0
391157,23,0,5836,0,0,0,0,0,0,0,0,0,55700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,581,0,0,5836,0
281579,43,42,202980,0,0,81192,0,0,1594,0,0,0,5600,0,0,0,1,0,2,0,0,0,0,0,0,11123,0,0,1,0,1,0,1,1,3,2,194,0,0,0,0,0,16901,4240,0,0,14278,0,1594,1809,0,0,0,0,1017,0,0,284172,0
282391,53,56,0,0,0,0,0,0,0,0,96750,0,7200,0,0,0,0,0,2,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,7641,2685,0,0,4500,0,0,0,0,96750,5225,1146,0,0,0,0,0
180687,68,67,0,0,0,0,0,0,9920,0,0,0,26900,0,0,0,0,0,2,0,25590,0,23244,0,35489,0,0,0,0,0,0,0,0,0,2,2,139963,199015,0,0,0,0,9961,5834,0,0,0,0,9920,7107,12302,0,0,0,0,0,0,0,0
