,age_head,age_spouse,e00200p,e00900p,e02100p,e00200s,e00900s,e02100s,e00600,e00800,e01500,e02300,s006,DSI,blind_head,blind_spouse,nu18,n1820,n21,ssi_ben,vet_ben,snap_ben,mcare_ben,mcaid_ben,e02400,tanf_ben,housing_ben,wic_ben,nu13,nu05,n24,elderly_dependents,f2441,EIC,XTOT,MARS,e01100,e01400,e03300,e03270,e20400,e32800,e19200,e18500,e03240,e17500,e18400,e00900,e00650,e00300,e00400,e01700,e19800,e20100,e03210,e03150,other_ben,e00200,e02100
6030,73,0,0,0,0,0,0,0,193,0,78438,0,700,0,0,0,0,0,1,0,0,0,11622,0,17458,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3491,2825,0,0,5080,0,193,3,0,78438,4805,1053,0,0,0,0,0
253884,57,61,0,0,0,0,0,0,0,0,0,0,100500,0,0,0,0,0,2,0,0,0,23244,0,20980,0,0,0,0,0,0,0,0,0,2,2,8416,0,0,0,0,0,4890,2034,0,0,2249,0,0,2894,7174,0,0,0,0,0,0,0,0
19907,60,0,0,32959,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3137,0,0,3158,0,0,0,0,0,0,2754,32959,0,1535,3620,0,0,0,0,0,0,0,0
340337,29,0,20388,0,0,0,0,0,0,0,0,0,62700,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3730,0,0,0,0,0,0,0,0,1231,0,0,0,0,0,0,0,0,0,0,20388,0
394209,48,0,0,0,0,0,0,0,0,0,0,0,94600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314093,39,44,21618,0,0,16645,0,0,0,0,0,1259,65300,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,6653,1671,0,12928,1874,0,0,175,0,0,4635,1016,0,0,0,38263,0
110058,71,61,0,0,0,0,0,0,0,0,45619,0,15900,0,0,0,0,0,2,0,0,0,23244,0,45016,0,0,0,0,0,0,0,0,0,2,2,0,78,0,0,0,0,3683,2967,0,0,4330,0,0,1,0,45619,0,0,0,0,0,0,0
95979,60,62,38354,0,0,182640,0,0,6030,0,0,0,7100,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,123497,0,0,0,0,0,12438,5183,0,0,3000,0,6030,26608,46054,0,0,0,454,454,0,220994,0
252970,47,48,33176,0,0,238087,0,0,447705,0,0,0,6500,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,4,0,2,3,6,2,13747,0,74690,0,0,1070,28537,7011,0,0,37811,0,447705,396,0,0,6951,1524,0,0,0,271263,0
299695,49,0,56939,0,0,0,0,0,0,0,0,0,5500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3150,0,0,0,0,0,4868,1067,0,0,0,56939,0
351793,38,36,99821,0,0,0,154002,0,1885,0,0,0,400,0,0,0,2,0,2,0,0,0,0,14062,0,0,0,0,2,0,2,0,2,2,4,2,0,0,0,0,0,0,17982,3976,0,0,12771,154002,1885,2115,3661,0,0,0,0,0,5744,99821,0
429609,46,42,49510,0,0,47529,0,0,0,0,0,0,41000,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,2,0,0,0,0,0,0,10168,2755,0,0,3000,0,0,1,0,0,5225,1146,0,0,0,97039,0
172986,58,0,0,5785,0,0,0,0,0,0,55723,0,1100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5011,2005,0,0,2030,5785,0,2,0,32152,0,0,0,0,0,0,0
433822,44,20,9159,3,1,0,0,0,0,0,0,0,33500,0,0,0,2,1,1,0,0,0,0,14062,0,0,0,0,1,0,2,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,500,3,0,0,0,0,0,0,0,0,5744,9159,1
82489,67,63,13585,0,0,0,0,0,0,0,20840,0,18400,0,0,0,0,0,2,0,0,0,11622,0,44455,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4538,2850,0,0,4189,0,0,0,0,0,0,0,0,0,0,13585,0
299297,60,62,0,0,0,42478,0,0,289,0,41773,0,700,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,10061,0,6594,2947,0,0,5019,0,289,2251,0,41773,5306,1163,589,0,0,42478,0
985,32,0,25499,0,0,0,0,0,0,0,0,0,17900,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,4,0,0,0,0,0,0,0,0,0,0,1400,0,0,2,0,0,0,0,0,0,0,25499,0
442806,29,2,53789,0,0,0,0,0,0,0,0,0,50800,0,0,0,1,0,1,0,0,0,0,0,0,5671,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0,0,53789,0
45695,46,0,28812,0,0,0,0,0,0,0,0,0,77800,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,3,4,777,6908,0,0,0,0,5670,1528,0,0,1720,0,0,76,0,0,0,0,0,0,0,28812,0
272412,52,56,89319,0,0,0,0,0,0,0,756312,0,3400,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,8512,0,0,0,21452,6516,15855,0,3000,0,0,0,0,756312,0,0,0,0,0,89319,0
27062,47,0,93078,0,0,0,0,0,12,0,0,0,53500,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,324,0,0,0,0,0,8396,2307,0,0,4527,0,12,10,0,0,5083,1114,0,0,0,93078,0
251972,22,22,20151,0,0,3838,0,0,0,0,0,0,33800,0,0,0,0,0,2,0,0,1506,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,76166,1250,0,0,0,0,0,0,0,0,0,615,23989,0
215149,80,0,0,0,0,0,0,0,1670,0,220286,0,2500,0,1,0,0,0,1,0,0,0,11622,0,9138,0,0,0,0,0,0,0,0,0,1,1,11240,0,0,0,10118,0,3099,4299,0,0,11958,0,1132,210,0,220286,0,0,0,0,0,0,0
